player_id,player,team,pos,gp,min,pts,reb,ast,stl,blk,fgm,fga,fg3m,ftm,tov,fpts
203999,Nikola Jokić,DEN,Center,70,36.7,29.6,12.7,10.2,1.8,0.6,11.2,19.5,2.0,5.2,3.3,96.31
203507,Giannis Antetokounmpo,MIL,Forward,67,34.2,30.4,11.9,6.5,0.9,1.2,11.8,19.7,0.2,6.5,3.1,83.03
1629029,Luka Dončić,LAL,Forward-Guard,50,35.4,28.2,8.2,7.7,1.8,0.4,9.2,20.5,3.5,6.2,3.6,76.2
1641705,Victor Wembanyama,SAS,Forward-Center,46,33.2,24.3,11.0,3.7,1.1,3.8,8.9,18.6,3.1,3.4,3.2,75.92
1628983,Shai Gilgeous-Alexander,OKC,Guard,76,34.2,32.7,5.0,6.4,1.7,1.0,11.3,21.8,2.1,7.9,2.4,73.93
203076,Anthony Davis,DAL,Forward-Center,51,33.4,24.7,11.6,3.5,1.2,2.2,9.2,17.8,0.7,5.6,2.2,72.48
1628369,Jayson Tatum,BOS,Forward-Guard,72,36.4,26.8,8.7,6.0,1.1,0.5,9.2,20.3,3.5,5.0,2.9,70.09
1626157,Karl-Anthony Towns,NYK,Center-Forward,72,35.0,24.4,12.8,3.1,1.0,0.7,8.9,16.9,2.0,4.7,2.7,69.77
1630595,Cade Cunningham,DET,Guard,70,35.0,26.1,6.1,9.1,1.0,0.8,9.8,20.8,2.1,4.5,4.4,67.29
2544,LeBron James,LAL,Forward,70,34.9,24.4,7.8,8.2,1.0,0.6,9.3,18.1,2.1,3.7,3.7,66.8
1627734,Domantas Sabonis,SAC,Forward-Center,70,34.7,19.1,13.9,6.0,0.7,0.4,7.5,12.8,0.9,3.1,2.9,66.42
201935,James Harden,LAC,Guard,79,35.3,22.8,5.8,8.7,1.5,0.7,6.7,16.4,3.0,6.4,4.3,64.7
1629027,Trae Young,ATL,Guard,76,36.0,24.2,3.1,11.6,1.2,0.2,7.4,18.1,2.9,6.5,4.7,64.51
1630162,Anthony Edwards,MIN,Guard,79,36.3,27.6,5.7,4.5,1.2,0.6,9.1,20.4,4.1,5.3,3.2,62.68
203081,Damian Lillard,MIL,Guard,58,36.1,24.9,4.7,7.1,1.2,0.2,7.7,17.1,3.4,6.2,2.8,62.21
1630178,Tyrese Maxey,PHI,Guard,52,37.7,26.3,3.3,6.1,1.8,0.4,9.2,21.0,3.1,4.9,2.4,60.94
1631094,Paolo Banchero,ORL,Forward,46,34.4,25.9,7.5,4.8,0.8,0.6,9.0,19.8,1.9,6.1,3.0,60.78
1630163,LaMelo Ball,CHA,Guard,47,32.0,25.2,4.9,7.4,1.1,0.3,8.6,21.3,3.8,4.1,3.6,60.56
203954,Joel Embiid,PHI,Center-Forward,19,30.2,23.8,8.2,4.5,0.7,0.9,7.4,16.6,1.2,7.8,3.3,60.53
1629627,Zion Williamson,NOP,Forward,30,28.6,24.6,7.2,5.3,1.2,0.9,9.6,16.9,0.1,5.3,3.0,59.87
201142,Kevin Durant,PHX,Forward,62,36.5,26.6,6.0,4.2,0.8,1.2,9.5,18.1,2.6,4.9,3.1,59.83
1630552,Jalen Johnson,ATL,Forward,36,35.7,18.9,10.0,5.0,1.6,1.0,7.5,15.1,1.2,2.6,2.9,58.91
201939,Stephen Curry,GSW,Guard,70,32.2,24.5,4.4,6.0,1.1,0.4,8.1,18.0,4.4,4.0,2.9,58.51
1626164,Devin Booker,PHX,Guard,75,37.3,25.6,4.1,7.1,0.9,0.2,8.7,18.9,2.4,5.8,2.9,58.47
1630578,Alperen Sengun,HOU,Center,76,31.5,19.1,10.3,4.9,1.1,0.8,7.5,15.0,0.3,3.9,2.6,57.93
